提出先識別子,提出先名称
49511200100000000000048,"北海道,札幌東年金事務所"
49511200100000000000049,"北海道,札幌西年金事務所"
49511200100000000000050,"北海道,函館年金事務所"
49511200100000000000051,"北海道,旭川年金事務所"
49511200100000000000052,"北海道,釧路年金事務所"
49511200100000000000053,"北海道,岩見沢年金事務所"
49511200100000000000054,"北海道,室蘭年金事務所"
49511200100000000000055,"北海道,小樽年金事務所"
49511200100000000000056,"北海道,北見年金事務所"
49511200100000000000057,"北海道,帯広年金事務所"
49511200100000000000058,"北海道,砂川年金事務所"
49511200100000000000059,"北海道,稚内年金事務所"
49511200100000000000060,"北海道,留萌年金事務所"
49511200100000000000061,"北海道,苫小牧年金事務所"
49511200100000000000062,"北海道,札幌北年金事務所"
49511200100000000000063,"北海道,新さっぽろ年金事務所"
49511200100000000000064,"青森,青森年金事務所"
49511200100000000000065,"青森,八戸年金事務所"
49511200100000000000066,"青森,弘前年金事務所"
49511200100000000000067,"青森,むつ年金事務所"
49511200100000000000068,"岩手,盛岡年金事務所"
49511200100000000000069,"岩手,一関年金事務所"
49511200100000000000070,"岩手,宮古年金事務所"
49511200100000000000071,"岩手,二戸年金事務所"
49511200100000000000072,"岩手,花巻年金事務所"
49511200100000000000073,"宮城,仙台南年金事務所"
49511200100000000000074,"宮城,仙台北年金事務所"
49511200100000000000075,"宮城,石巻年金事務所"
49511200100000000000076,"宮城,古川年金事務所"
49511200100000000000077,"宮城,仙台東年金事務所"
49511200100000000000078,"宮城,大河原年金事務所"
49511200100000000000079,"秋田,秋田年金事務所"
49511200100000000000080,"秋田,鷹巣年金事務所"
49511200100000000000081,"秋田,大曲年金事務所"
49511200100000000000082,"秋田,本荘年金事務所"
49511200100000000000083,"山形,山形年金事務所"
49511200100000000000084,"山形,鶴岡年金事務所"
49511200100000000000085,"山形,米沢年金事務所"
49511200100000000000086,"山形,新庄年金事務所"
49511200100000000000087,"山形,寒河江年金事務所"
49511200100000000000088,"福島,東北福島年金事務所"
49511200100000000000089,"福島,平年金事務所"
49511200100000000000090,"福島,郡山年金事務所"
49511200100000000000091,"福島,会津若松年金事務所"
49511200100000000000092,"福島,相馬年金事務所"
49511200100000000000093,"福島,白河年金事務所"
49511200100000000000094,"茨城,水戸南年金事務所"
49511200100000000000095,"茨城,土浦年金事務所"
49511200100000000000096,"茨城,日立年金事務所"
