提出先識別子,提出先名称
49511200080000000000048,"北海道,留萌年金事務所"
49511200080000000000049,"北海道,函館年金事務所"
49511200080000000000050,"北海道,釧路年金事務所"
49511200080000000000051,"北海道,室蘭年金事務所"
49511200080000000000052,"北海道,苫小牧年金事務所"
49511200080000000000053,"北海道,小樽年金事務所"
49511200080000000000054,"北海道,稚内年金事務所"
49511200080000000000055,"北海道,北見年金事務所"
49511200080000000000056,"青森,青森年金事務所"
49511200080000000000057,"青森,八戸年金事務所"
49511200080000000000058,"岩手,宮古年金事務所"
49511200080000000000059,"宮城,仙台東年金事務所"
49511200080000000000060,"秋田,秋田年金事務所"
49511200080000000000061,"山形,山形年金事務所"
49511200080000000000062,"山形,鶴岡年金事務所"
49511200080000000000063,"福島,平年金事務所"
49511200080000000000064,"福島,相馬年金事務所"
49511200080000000000065,"茨城,水戸南年金事務所"
49511200080000000000066,"栃木,宇都宮西年金事務所"
49511200080000000000067,"群馬,前橋年金事務所"
49511200080000000000068,"埼玉,浦和年金事務所"
49511200080000000000069,"千葉,千葉年金事務所"
49511200080000000000070,"東京,新宿年金事務所"
49511200080000000000071,"神奈川,横浜中年金事務所"
49511200080000000000072,"新潟,新潟東年金事務所"
49511200080000000000073,"富山,富山年金事務所"
49511200080000000000074,"石川,金沢北年金事務所"
49511200080000000000075,"福井,福井年金事務所"
49511200080000000000076,"山梨,甲府年金事務所"
49511200080000000000077,"長野,長野南年金事務所"
49511200080000000000078,"岐阜,岐阜北年金事務所"
49511200080000000000079,"静岡,静岡年金事務所"
49511200080000000000080,"愛知,熱田年金事務所"
49511200080000000000081,"三重,尾鷲年金事務所"
49511200080000000000082,"三重,津年金事務所"
49511200080000000000083,"滋賀,大津年金事務所"
49511200080000000000084,"京都,舞鶴年金事務所"
49511200080000000000085,"大阪,大手前年金事務所"
49511200080000000000086,"兵庫,三宮年金事務所"
49511200080000000000087,"奈良,奈良年金事務所"
49511200080000000000088,"和歌山,和歌山西年金事務所"
49511200080000000000089,"鳥取,倉吉年金事務所"
49511200080000000000090,"鳥取,鳥取年金事務所"
49511200080000000000091,"鳥取,米子年金事務所"
49511200080000000000092,"島根,出雲年金事務所"
49511200080000000000093,"島根,松江年金事務所"
49511200080000000000094,"島根,浜田年金事務所"
49511200080000000000095,"岡山,岡山東年金事務所"
49511200080000000000096,"広島,広島南年金事務所"
49511200080000000000097,"山口,山口年金事務所"
49511200080000000000098,"徳島,徳島南年金事務所"
49511200080000000000099,"香川,高松西年金事務所"
49511200080000000000100,"愛媛,宇和島年金事務所"
49511200080000000000101,"愛媛,松山西年金事務所"
49511200080000000000102,"愛媛,新居浜年金事務所"
49511200080000000000103,"愛媛,今治年金事務所"
49511200080000000000104,"高知,高知東年金事務所"
49511200080000000000105,"福岡,博多年金事務所"
49511200080000000000106,"佐賀,佐賀年金事務所"
49511200080000000000107,"長崎,長崎南年金事務所"
49511200080000000000108,"長崎,佐世保年金事務所"
49511200080000000000109,"熊本,本渡年金事務所"
49511200080000000000110,"大分,大分年金事務所"
49511200080000000000111,"宮崎,宮崎年金事務所"
49511200080000000000112,"宮崎,延岡年金事務所"
49511200080000000000113,"鹿児島,鹿児島北年金事務所"
49511200080000000000114,"沖縄,浦添年金事務所"
